timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-09-05T09:55:50,codecarbon,3956f2fc-b437-4a06-9dc2-3bcaaa8c70ad,0.0119822999986354,4.5908728327233104e-08,3.831378644539137e-06,42.5,0.0,5.224797248840332,1.2913388883235814e-07,0,5.140619820464404e-10,1.296479508144046e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:53,codecarbon,5fc14d0b-865c-4ccc-845c-2a1d9a38494b,0.0139616999949794,5.187955985447335e-08,3.715848347488417e-06,42.5,0.0,5.224797248840332,1.45862360962686e-07,0,6.474394470065006e-10,1.465098004096925e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:55,codecarbon,f7578ecf-6194-4984-8f2a-3f0aac95db51,0.0310713999788276,1.3422892450001913e-07,4.320015338590597e-06,42.5,0.0,5.224797248840332,3.544913191540724e-07,0,2.457614003158588e-08,3.790674591856582e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:57,codecarbon,c7bf9ed5-a07b-4db7-86fb-4570c939163e,0.0099549999868031,3.657621566534792e-08,3.674155270098962e-06,42.5,0.0,5.224797248840332,1.0285472203071954e-07,0,4.3786703333222044e-10,1.0329258906405177e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:59,codecarbon,db7a4ee1-47e4-4256-8140-cd02e36fcda4,0.0113803000131156,4.39123386781599e-08,3.858627507847032e-06,42.5,0.0,5.224797248840332,1.234967360788788e-07,0,5.13336352475635e-10,1.2401007243135445e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:56:02,codecarbon,328fc7fd-c986-424d-95fb-915dac5e9384,0.0085273000004235,3.2986523407493025e-08,3.868343251187893e-06,42.5,0.0,5.224797248840332,9.269131917082837e-08,0,4.6384587293862847e-10,9.3155165043767e-08,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:56:04,codecarbon,51e367ec-e761-4cf1-bc8f-160b466b3ff6,0.0181764000153634,7.213930176843569e-08,3.96884430951456e-06,42.5,0.0,5.224797248840332,2.027580557195405e-07,0,9.660069640167464e-10,2.037240626835573e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:56:06,codecarbon,a726b361-c213-4606-be1a-6df2bb8a9f02,0.0078512000036425,3.063445075369389e-08,3.901881335271162e-06,42.5,0.0,5.224797248840332,8.602590260125e-08,0,4.869220675438047e-10,8.65128246687938e-08,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:56:08,codecarbon,940034ae-e8eb-433f-95c1-9d32631673d1,0.0158964000002015,6.017492060594308e-08,3.785443283081714e-06,42.5,0.0,5.224797248840332,1.690720833115241e-07,0,8.641234021808382e-10,1.6993620671370498e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:56:10,codecarbon,70aa9872-a081-4984-96d5-8b90d6c05134,0.0159885000030044,6.085726437236917e-08,3.8063148113289744e-06,42.5,0.0,5.224797248840332,1.708936806608108e-07,0,9.694901464660923e-10,1.718631708072769e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
